title,movieId,tag,genres,year,combined
Drifting Clouds (Kauas pilvet karkaavat) (1996),26939,loneliness drinking melancholic workplace depression finnish,comedy drama,1996,loneliness drinking melancholic workplace depression finnish comedy drama
Cannibal! The Musical (a.k.a. Alferd Packer: The Musical) (1996),26925,cannibalism musical,comedy horror musical western,1996,cannibalism musical comedy horror musical western
Tromeo and Juliet (1996),26915,sexual splatter nudity_(topless___notable) nudity cult_classic funny_as_hell shakespeare goofy pornography,comedy drama,1996,sexual splatter nudity_(topless___notable) nudity cult_classic funny_as_hell shakespeare goofy pornography comedy drama
Trinity and Beyond (1995),26914,nuclear interesting narrated bombs visually_stunning nuclear_bomb nuclear_war us_history documentary historical military weapons original history,documentary,1995,nuclear interesting narrated bombs visually_stunning nuclear_bomb nuclear_war us_history documentary historical military weapons original history documentary
Whisper of the Heart (Mimi wo sumaseba) (1995),26903,imagination romance coming_of_age studio_ghibli love_story romantic anime japan tokyo love,animation drama romance,1995,imagination romance coming_of_age studio_ghibli love_story romantic anime japan tokyo love animation drama romance
Last of the Dogmen (1995),26901,indians modern_fantasy native_americans,adventure western,1995,indians modern_fantasy native_americans adventure western
"Pure Formality, A (Pura formalità, Una) (1994)",26875,cerebral great_acting psychological golden_palm murder_mystery complicated surprise_ending nonlinear,crime film_noir mystery thriller,1994,cerebral great_acting psychological golden_palm murder_mystery complicated surprise_ending nonlinear crime film_noir mystery thriller
My Father the Hero (1994),26871,single_father holiday teen_movie,comedy romance,1994,single_father holiday teen_movie comedy romance
Major League II (1994),26870,sequels sequel baseball sports,comedy,1994,sequels sequel baseball sports comedy
Fist of Legend (Jing wu ying xiong) (1994),26865,hong_kong kung_fu action fight_scenes martial_arts fighting japan revenge china original wuxia,action drama,1994,hong_kong kung_fu action fight_scenes martial_arts fighting japan revenge china original wuxia action drama
Freaked (1993),26861,splatter weird surreal cult_classic cult_film parody,comedy sci_fi,1993,splatter weird surreal cult_classic cult_film parody comedy sci_fi
Tai Chi Master (Twin Warriors) (Tai ji: Zhang San Feng) (1993),26842,hong_kong kung_fu fight_scenes martial_arts wuxia,action adventure comedy drama,1993,hong_kong kung_fu fight_scenes martial_arts wuxia action adventure comedy drama
Splitting Heirs (1993),26841,comedy,comedy,1993,comedy comedy
Sonatine (Sonachine) (1993),26840,violence gangsters meditative gangster violent bloody stylish melancholic organized_crime lone_hero japan tokyo,action comedy crime drama,1993,violence gangsters meditative gangster violent bloody stylish melancholic organized_crime lone_hero japan tokyo action comedy crime drama
"Snapper, The (1993)",26838,irish based_on_a_book pregnancy irish_accent working_class ireland,comedy drama,1993,irish based_on_a_book pregnancy irish_accent working_class ireland comedy drama
Philadelphia Experiment II (1993),26834,alternate_reality time science_fiction time_travel scifi alternate_universe,action adventure sci_fi,1993,alternate_reality time science_fiction time_travel scifi alternate_universe action adventure sci_fi
Mr. Nanny (1993),26828,kids,action children comedy,1993,kids action children comedy
Fortress (1992),26819,future cyborgs prison_escape science_fiction sci_fi scifi futuristic prison good_action,action sci_fi,1992,future cyborgs prison_escape science_fiction sci_fi scifi futuristic prison good_action action sci_fi
Barbarians at the Gate (1993),26812,true_story greed based_on_true_story based_on_a_true_story corporate_america mentor business,drama,1993,true_story greed based_on_true_story based_on_a_true_story corporate_america mentor business drama
House of Angels (Änglagård) (1992),26803,small_town,comedy drama,1992,small_town comedy drama
Visions of Light: The Art of Cinematography (1992),26797,cinematography,documentary,1992,cinematography documentary
"Heart in Winter, A (Un coeur en hiver) (1992)",26796,loneliness enigmatic relationships,drama romance,1992,loneliness enigmatic relationships drama romance
Sidekicks (1992),26792,kung_fu single_father ninja mentor fight_scenes martial_arts teen_movie fantasy,action adventure children comedy,1992,kung_fu single_father ninja mentor fight_scenes martial_arts teen_movie fantasy action adventure children comedy
Shining Through (1992),26791,romance nazi wartime world_war_ii germany nazis wwii spying spy espionage spies,drama romance thriller war,1992,romance nazi wartime world_war_ii germany nazis wwii spying spy espionage spies drama romance thriller war
"Story of Qiu Ju, The (Qiu Ju da guan si) (1992)",26788,china,comedy drama,1992,china comedy drama
"Mambo Kings, The (1992)",26782,music musicians rags_to_riches,drama musical,1992,music musicians rags_to_riches drama musical
Ladybugs (1992),26778,silly_fun soccer comedy cross_dressing teen_movie,comedy,1992,silly_fun soccer comedy cross_dressing teen_movie comedy
Porco Rosso (Crimson Pig) (Kurenai no buta) (1992),26776,imagination studio_ghibli animation adventure visually_appealing miyazaki storytelling pigs anime japan aviation fascism,adventure animation comedy fantasy romance,1992,imagination studio_ghibli animation adventure visually_appealing miyazaki storytelling pigs anime japan aviation fascism adventure animation comedy fantasy romance
Innocent Blood (1992),26774,splatter mafia mob vampires horror bloody vampire vampire_human_love organized_crime blood sexy undercover_cop,comedy horror,1992,splatter mafia mob vampires horror bloody vampire vampire_human_love organized_crime blood sexy undercover_cop comedy horror
Diggstown (1992),26770,great_movie great_ending con_men original great boxing,drama,1992,great_movie great_ending con_men original great boxing drama
City Hunter (Sing si lip yan) (1993),26765,silly_fun hong_kong kung_fu ninja action fight_scenes martial_arts based_on_a_comic comedy good_action,action comedy romance,1993,silly_fun hong_kong kung_fu ninja action fight_scenes martial_arts based_on_a_comic comedy good_action action comedy romance
Captain America (1990),26764,marvel comics super_hero superhero big_budget horrible superheroes comic_book based_on_a_comic bad_cgi adapted_from:comic based_on_comic,action fantasy sci_fi thriller war,1990,marvel comics super_hero superhero big_budget horrible superheroes comic_book based_on_a_comic bad_cgi adapted_from:comic based_on_comic action fantasy sci_fi thriller war
Wild Hearts Can't Be Broken (1991),26760,horses runaway love_story,drama romance,1991,horses runaway love_story drama romance
All the Mornings of the World (Tous les matins du monde) (1991),26758,life_&_death meditative music mentor classical_music melancholic musicians,drama romance,1991,life_&_death meditative music mentor classical_music melancholic musicians drama romance
Quigley Down Under (1990),26750,chase western australia scenic gunfight,adventure drama western,1990,chase western australia scenic gunfight adventure drama western
Prospero's Books (1991),26749,weird artistic based_on_a_play shakespeare male_nudity pornography,drama fantasy,1991,weird artistic based_on_a_play shakespeare male_nudity pornography drama fantasy
Out for Justice (1991),26746,violence violent action detective fight_scenes brutality vengeance gunfight good_action,action crime drama thriller,1991,violence violent action detective fight_scenes brutality vengeance gunfight good_action action crime drama thriller
Other People's Money (1991),26745,greed lawyer capitalism business lawyers,comedy drama romance,1991,greed lawyer capitalism business lawyers comedy drama romance
Once Around (1991),26744,family_drama family drama love_story love,drama,1991,family_drama family drama love_story love drama
Mannequin 2: On the Move (1991),26741,sequels chase fantasy_world fairy_tale,comedy fantasy romance,1991,sequels chase fantasy_world fairy_tale comedy fantasy romance
Riki-Oh: The Story of Ricky (Lik Wong) (1991),26736,gore splatter violence kung_fu violent cult_classic visceral bloody fight_scenes martial_arts cult_film brutality prison gory,action crime thriller,1991,gore splatter violence kung_fu violent cult_classic visceral bloody fight_scenes martial_arts cult_film brutality prison gory action crime thriller
"Kiss Before Dying, A (1991)",26734,remake,thriller,1991,remake thriller
Johnny Stecchino (1991),26732,mafia mistaken_identity,comedy,1991,mafia mistaken_identity comedy
Homicide (1991),26731,cerebral dialogue_driven jews detective murder criterion,crime drama thriller,1991,cerebral dialogue_driven jews detective murder criterion crime drama thriller
Hearts of Darkness: A Filmmakers Apocalypse (1991),26729,francis_ford_copolla documentary original,documentary,1991,francis_ford_copolla documentary original documentary
Guilty by Suspicion (1991),26728,betrayal world_politics communism political politics fascism original,drama,1991,betrayal world_politics communism political politics fascism original drama
Dutch (1991),26726,holiday,comedy,1991,holiday comedy
Begotten (1990),26717,weird surreal bdsm disturbing art_house cult_film surrealism pornography,drama horror,1990,weird surreal bdsm disturbing art_house cult_film surrealism pornography drama horror
Days of Being Wild (A Fei jingjyuhn) (1990),26713,nocturnal loneliness melancholy bleak enigmatic melancholic obsession intimate relationships stylized cinematography,drama romance,1990,nocturnal loneliness melancholy bleak enigmatic melancholic obsession intimate relationships stylized cinematography drama romance
35 Up (1991),26712,documentary series,documentary,1991,documentary series documentary
"Welcome Home, Roxy Carmichael (1990)",26710,adolescence small_town teen high_school teen_movie,comedy drama,1990,adolescence small_town teen high_school teen_movie comedy drama
State of Grace (1990),26704,mafia betrayal organized_crime violence crime gangsters drama great_ending new_york undercover_cop friendship irish gangs gangster violent great_acting gunfight intense mob drinking foul_language unlikely_friendships stylish original,crime drama thriller,1990,mafia betrayal organized_crime violence crime gangsters drama great_ending new_york undercover_cop friendship irish gangs gangster violent great_acting gunfight intense mob drinking foul_language unlikely_friendships stylish original crime drama thriller
"Reflecting Skin, The (1990)",26702,weird surreal lynch child_abuse dark disturbing melancholic surrealism innocence_lost cinematography,drama horror thriller,1990,weird surreal lynch child_abuse dark disturbing melancholic surrealism innocence_lost cinematography drama horror thriller
Nuns on the Run (1990),26700,farce chase gangsters bank_robbery comedy cross_dressing catholicism,comedy crime,1990,farce chase gangsters bank_robbery comedy cross_dressing catholicism comedy crime
Close-Up (Nema-ye Nazdik) (1990),26699,meditative iran intimate criterion,drama,1990,meditative iran intimate criterion drama
Narrow Margin (1990),26698,chase claustrophobic mob tense murder organized_crime train wilderness hit_men suspenseful noir_thriller,crime thriller,1990,chase claustrophobic mob tense murder organized_crime train wilderness hit_men suspenseful noir_thriller crime thriller
Lionheart (1990),26696,fight_scenes fighting action,action,1990,fight_scenes fighting action action
"Krays, The (1990)",26695,violence gangsters mob gangster violent organized_crime crime,drama,1990,violence gangsters mob gangster violent organized_crime crime drama
Ju Dou (1990),26694,visual visually_stunning melancholic relationships china masterpiece adultery foreign tragedy visually_appealing oscar_(best_foreign_language_film) storytelling beautifully_filmed imdb_top_250 allegory intimate stunning powerful_ending brutality obsession downbeat colourful cinematography,drama,1990,visual visually_stunning melancholic relationships china masterpiece adultery foreign tragedy visually_appealing oscar_(best_foreign_language_film) storytelling beautifully_filmed imdb_top_250 allegory intimate stunning powerful_ending brutality obsession downbeat colourful cinematography drama
I Hired a Contract Killer (1990),26691,foreign loneliness drinking melancholic depression finnish hit_men french,comedy drama,1990,foreign loneliness drinking melancholic depression finnish hit_men french comedy drama
Hard to Kill (1990),26688,chase action fight_scenes lone_hero vengeance gunfight revenge good_action,action crime drama,1990,chase action fight_scenes lone_hero vengeance gunfight revenge good_action action crime drama
Ghost Dad (1990),26686,family afterlife ghosts supernatural kids_and_family,comedy fantasy,1990,family afterlife ghosts supernatural kids_and_family comedy fantasy
Frankenhooker (1990),26684,splatter horror cult_classic cult_film mad_scientist,comedy horror,1990,splatter horror cult_classic cult_film mad_scientist comedy horror
Bullet in the Head (1990),26681,intense hong_kong gangsters gangster friendship unlikely_friendships violent brutality violence innocence_lost original good_action,action drama war,1990,intense hong_kong gangsters gangster friendship unlikely_friendships violent brutality violence innocence_lost original good_action action drama war
Cry-Baby (1990),26680,silly_fun rock_and_roll,comedy musical romance,1990,silly_fun rock_and_roll comedy musical romance
Almost an Angel (1990),26676,disability destiny,comedy,1990,disability destiny comedy
Monsieur Hire (1989),26663,loneliness enigmatic golden_palm murder voyeurism melancholic obsession solitude french,crime romance thriller,1989,loneliness enigmatic golden_palm murder voyeurism melancholic obsession solitude french crime romance thriller
Kiki's Delivery Service (Majo no takkyûbin) (1989),26662,animation magic witch anime childhood fantasy imagination fantasy_world coming_of_age miyazaki storytelling japan friendship sweet innocence_lost author:neil_gaiman studio_ghibli witches original,adventure animation children drama fantasy,1989,animation magic witch anime childhood fantasy imagination fantasy_world coming_of_age miyazaki storytelling japan friendship sweet innocence_lost author:neil_gaiman studio_ghibli witches original adventure animation children drama fantasy
Landscape in the Mist (Topio stin omichli) (1988),26644,melancholic enigmatic runaway criterion,drama,1988,melancholic enigmatic runaway criterion drama
Alice (Neco z Alenky) (1988),26631,stop_motion weird surreal enigmatic dark_fantasy surrealism bizarre dreamlike,animation fantasy mystery,1988,stop_motion weird surreal enigmatic dark_fantasy surrealism bizarre dreamlike animation fantasy mystery
Moonwalker (1988),26630,music dancing surreal musical,musical,1988,music dancing surreal musical musical
Killer Klowns from Outer Space (1988),26629,weird small_town alien cult_classic clowns cult_film low_budget,comedy horror sci_fi,1988,weird small_town alien cult_classic clowns cult_film low_budget comedy horror sci_fi
Cobra Verde (1987),26616,africa enigmatic criterion,adventure drama,1987,africa enigmatic criterion adventure drama
"Better Tomorrow II, A (Ying hung boon sik II) (1987)",26612,hong_kong gangsters mentor undercover_cop gunfight hit_men,crime drama thriller,1987,hong_kong gangsters mentor undercover_cop gunfight hit_men crime drama thriller
"Chinese Ghost Story, A (Sinnui yauwan) (1987)",26606,splatter hong_kong kung_fu ghosts horror affectionate martial_arts supernatural china wuxia,action fantasy horror romance,1987,splatter hong_kong kung_fu ghosts horror affectionate martial_arts supernatural china wuxia action fantasy horror romance
Prince of Darkness (1987),26603,horror supernatural ominous creepy devil,fantasy horror sci_fi thriller,1987,horror supernatural ominous creepy devil fantasy horror sci_fi thriller
"Law of Desire (Ley del deseo, La) (1987)",26599,transgender spanish glbt love_triangles homosexuality spain obsession male_nudity relationships gay queer almodovar love,comedy drama romance,1987,transgender spanish glbt love_triangles homosexuality spain obsession male_nudity relationships gay queer almodovar love comedy drama romance
Hell Comes to Frogtown (1988),26593,post_apocalyptic women sexy,action comedy sci_fi,1988,post_apocalyptic women sexy action comedy sci_fi
"Decalogue, The (Dekalog) (1989)",26587,masterpiece criterion adultery meditative bleak great_acting affectionate golden_palm melancholic storytelling intellectual complex poland imdb_top_250 reflective,crime drama romance,1989,masterpiece criterion adultery meditative bleak great_acting affectionate golden_palm melancholic storytelling intellectual complex poland imdb_top_250 reflective crime drama romance
"Better Tomorrow, A (Ying hung boon sik) (1986)",26585,betrayal hong_kong gangster action stylish vengeance gunfight revenge good_action,crime drama thriller,1986,betrayal hong_kong gangster action stylish vengeance gunfight revenge good_action crime drama thriller
"Sacrifice, The (Offret - Sacraficatio) (1986)",26578,life_&_death masterpiece existentialism meditative allegory enigmatic philosophical melancholic sacrifice beautifully_filmed criterion god reflective cinematography,drama,1986,life_&_death masterpiece existentialism meditative allegory enigmatic philosophical melancholic sacrifice beautifully_filmed criterion god reflective cinematography drama
Club Paradise (1986),26567,comedy funny fun_movie,comedy,1986,comedy funny fun_movie comedy
Asterix in Britain (Astérix chez les Bretons) (1986),26565,magic,adventure animation children comedy,1986,magic adventure animation children comedy
'Round Midnight (1986),26564,music paris musicians jazz,drama musical,1986,music paris musicians jazz drama musical
White Nights (1985),26562,dancing dance,drama,1985,dancing dance drama
Vision Quest (1985),26561,coming_of_age good_soundtrack teens awesome_soundtrack 80s teen high_school teen_movie sports,drama romance,1985,coming_of_age good_soundtrack teens awesome_soundtrack 80s teen high_school teen_movie sports drama romance
"Unknown Soldier, The (Tuntematon sotilas) (1985)",26560,best_war_films criterion based_on_a_book world_war_ii war finnish,drama war,1985,best_war_films criterion based_on_a_book world_war_ii war finnish drama war
"Stuff, The (1985)",26558,splatter zombie horror cult_classic cult_film cult low_budget,comedy horror mystery sci_fi,1985,splatter zombie horror cult_classic cult_film cult low_budget comedy horror mystery sci_fi
Spies Like Us (1985),26555,chase funny secret_service comedy saturday_night_live spy espionage cold_war spying spies,comedy,1985,chase funny secret_service comedy saturday_night_live spy espionage cold_war spying spies comedy
"Quiet Earth, The (1985)",26554,post_apocalyptic weird end_of_the_world alone_in_the_world loneliness cyberpunk apocalypse science_fiction lone_hero sci_fi scifi solitude death,drama mystery sci_fi,1985,post_apocalyptic weird end_of_the_world alone_in_the_world loneliness cyberpunk apocalypse science_fiction lone_hero sci_fi scifi solitude death drama mystery sci_fi
Mishima: A Life in Four Chapters (1985),26550,life_&_death weird artistic criterion visually_appealing biographical art artist runaway life,drama,1985,life_&_death weird artistic criterion visually_appealing biographical art artist runaway life drama
Police Story (Ging chaat goo si) (1985),26547,chase hong_kong kung_fu action action_packed fight_scenes martial_arts comedy hit_men good_action,action comedy crime thriller,1985,chase hong_kong kung_fu action action_packed fight_scenes martial_arts comedy hit_men good_action action comedy crime thriller
Demons (Dèmoni) (1985),26540,splatter cult_classic awesome_soundtrack horror demons gory,horror,1985,splatter cult_classic awesome_soundtrack horror demons gory horror
Death of a Salesman (1985),26539,adultery tragedy drama great_acting idealism oscar_(best_actress) poignant oscar_(best_directing),drama,1985,adultery tragedy drama great_acting idealism oscar_(best_actress) poignant oscar_(best_directing) drama
Asterix vs. Caesar (Astérix et la surprise de César) (1985),26529,animated animation cartoon lions,adventure animation children comedy,1985,animated animation cartoon lions adventure animation children comedy
What Have I Done to Deserve This? (¿Qué he hecho yo para merecer esto!!) (1984),26527,spanish women prostitution spain drugs almodovar dysfunctional_family,comedy drama,1984,spanish women prostitution spain drugs almodovar dysfunctional_family comedy drama
"Times of Harvey Milk, The (1984)",26524,homosexuality assassination san_francisco california political documentary gay politics,documentary,1984,homosexuality assassination san_francisco california political documentary gay politics documentary
"Silent Night, Deadly Night (1984)",26523,splatter holiday serial_killer horror sexualized_violence murder gory slasher christmas,horror thriller,1984,splatter holiday serial_killer horror sexualized_violence murder gory slasher christmas horror thriller
Racing with the Moon (1984),26521,unlikely_friendships coming_of_age,comedy drama romance,1984,unlikely_friendships coming_of_age comedy drama romance
"Ice Pirates, The (1984)",26513,future dystopia robot cult_classic space science_fiction cult_film sci_fi scifi futuristic space_opera goofy spoof robots,action adventure comedy sci_fi,1984,future dystopia robot cult_classic space science_fiction cult_film sci_fi scifi futuristic space_opera goofy spoof robots action adventure comedy sci_fi
"Hit, The (1984)",26512,road_movie road_trip hit_men criterion,crime drama thriller,1984,road_movie road_trip hit_men criterion crime drama thriller
Electric Dreams (1984),26509,technology,comedy drama romance sci_fi,1984,technology comedy drama romance sci_fi
Cloak & Dagger (1984),26504,fantasy_world single_father mentor murder imaginary_friend video_game spying childhood spies espionage,action adventure children crime mystery thriller,1984,fantasy_world single_father mentor murder imaginary_friend video_game spying childhood spies espionage action adventure children crime mystery thriller
Another Country (1984),26497,gay_character homosexuality 1930s england spying gay,drama romance,1984,gay_character homosexuality 1930s england spying gay drama romance
Yellowbeard (1983),26495,pirates treasure comedy swashbuckler parody treasure_hunt,action adventure comedy,1983,pirates treasure comedy swashbuckler parody treasure_hunt action adventure comedy
Suburbia (1984),26494,punk cult_classic independent_film suburbia los_angeles runaway,drama,1984,punk cult_classic independent_film suburbia los_angeles runaway drama
"4th Man, The (Fourth Man, The) (Vierde man, De) (1983)",26493,sexual obsession catholicism,drama mystery thriller,1983,sexual obsession catholicism drama mystery thriller
Twilight Zone: The Movie (1983),26492,remake original,fantasy horror sci_fi thriller,1983,remake original fantasy horror sci_fi thriller
To Be or Not to Be (1983),26491,gay_character remake nazi world_war_ii holocaust jews nazis comedy poland wartime original,comedy romance war,1983,gay_character remake nazi world_war_ii holocaust jews nazis comedy poland wartime original comedy romance war
"Star Chamber, The (1983)",26488,justice chase lawyer vigilante investigation police_investigation suspense murder vigilantism lawyers,action crime drama thriller,1983,justice chase lawyer vigilante investigation police_investigation suspense murder vigilantism lawyers action crime drama thriller
Star 80 (1983),26487,true_story creepy,drama,1983,true_story creepy drama
Rumble Fish (1983),26485,surreal based_on_a_book enigmatic motorcycle criterion,drama,1983,surreal based_on_a_book enigmatic motorcycle criterion drama
"Pirates of Penzance, The (1983)",26479,swashbuckler pirates musical,adventure comedy musical romance,1983,swashbuckler pirates musical adventure comedy musical romance
Merry Christmas Mr. Lawrence (1983),26476,best_war_films world_war_ii camp brutality wwii criterion japan wartime,drama war,1983,best_war_films world_war_ii camp brutality wwii criterion japan wartime drama war
"Norte, El (1984)",26472,social_commentary criterion latin_america indians magic_realism independent_film immigrants,adventure drama,1984,social_commentary criterion latin_america indians magic_realism independent_film immigrants adventure drama
Eddie Murphy Delirious (1983),26471,stand_up_comedy foul_language funny humor comedy hilarious,comedy documentary,1983,stand_up_comedy foul_language funny humor comedy hilarious comedy documentary
"Day After, The (1983)",26467,nuclear future post_apocalyptic end_of_the_world bombs nuclear_war disaster apocalypse scifi futuristic cold_war weapons original,drama sci_fi,1983,nuclear future post_apocalyptic end_of_the_world bombs nuclear_war disaster apocalypse scifi futuristic cold_war weapons original drama sci_fi
D.C. Cab (1983),26465,nudity_(topless),action comedy,1983,nudity_(topless) action comedy
Blue Thunder (1983),26464,chase surveillance conspiracy police action los_angeles good_action,action crime drama,1983,chase surveillance conspiracy police action los_angeles good_action action crime drama
Barefoot Gen (Hadashi no Gen) (1983),26463,bombs world_war_ii tragedy firefly dramatic anime war japan anti_war death heartbreaking,animation drama war,1983,bombs world_war_ii tragedy firefly dramatic anime war japan anti_war death heartbreaking animation drama war
Bad Boys (1983),26462,intense prison gangs gritty rape violence violent brutal brutality vengeance crime revenge,crime drama thriller,1983,intense prison gangs gritty rape violence violent brutal brutality vengeance crime revenge crime drama thriller
Pelle Svanslös (1981),26448,bullying animation cute,animation children,1981,bullying animation cute animation children
Opening Night (1977),26431,meditative independent_film enigmatic intimate criterion,drama,1977,meditative independent_film enigmatic intimate criterion drama
"In-Laws, The (1979)",26425,chase comedy criterion,action comedy,1979,chase comedy criterion action comedy
Hair (1979),26422,music good_music awesome_soundtrack musical,comedy drama musical,1979,music good_music awesome_soundtrack musical comedy drama musical
French Fried Vacation 2 (Les bronzés font du ski) (1979),26417,france french,comedy,1979,france french comedy
"Wedding, A (1978)",26414,ensemble_cast wedding independent_film,comedy drama,1978,ensemble_cast wedding independent_film comedy drama
Snake in the Eagle's Shadow (Se ying diu sau) (1978),26413,hong_kong kung_fu mentor fight_scenes martial_arts,action comedy,1978,hong_kong kung_fu mentor fight_scenes martial_arts action comedy
Gates of Heaven (1978),26400,documentary fake_documentary very_interesting criterion,documentary,1978,documentary fake_documentary very_interesting criterion documentary
Five Deadly Venoms (1978),26399,fight_scenes martial_arts hong_kong kung_fu,action,1978,fight_scenes martial_arts hong_kong kung_fu action
Capricorn One (1978),26398,chase conspiracy_theory desert conspiracy space_travel space nasa mars astronauts suspense space_program scifi sci_fi,drama sci_fi thriller,1978,chase conspiracy_theory desert conspiracy space_travel space nasa mars astronauts suspense space_program scifi sci_fi drama sci_fi thriller
"Rutles: All You Need Is Cash, The (1978)",26395,beatles rock_and_roll music affectionate saturday_night_live musical musicians rags_to_riches fake_documentary parody spoof,comedy,1978,beatles rock_and_roll music affectionate saturday_night_live musical musicians rags_to_riches fake_documentary parody spoof comedy
"Turning Point, The (1977)",26394,women new_york_city coming_of_age oscar_(best_picture) ballet dancing dance,drama romance,1977,women new_york_city coming_of_age oscar_(best_picture) ballet dancing dance drama romance
Sorcerer (1977),26393,existentialism latin_america tense visceral jungle criterion downbeat original,action thriller,1977,existentialism latin_america tense visceral jungle criterion downbeat original action thriller
"New York, New York (1977)",26391,social_commentary new_york_city music new_york jazz,drama musical romance,1977,social_commentary new_york_city music new_york jazz drama musical romance
High Anxiety (1977),26386,silly_fun hilarious funny silly comedy hitchcock goofy dumb_but_funny parody spoof,comedy thriller,1977,silly_fun hilarious funny silly comedy hitchcock goofy dumb_but_funny parody spoof comedy thriller
Demon Seed (1977),26383,scifi technology intelligent_sci_fi sci_fi,horror sci_fi thriller,1977,scifi technology intelligent_sci_fi sci_fi horror sci_fi thriller
Jesus of Nazareth (1977),26379,religion christian jesus christianity biblical god,drama,1977,religion christian jesus christianity biblical god drama
Who Can Kill a Child? (a.k.a. Island of the Damned) (¿Quién puede matar a un niño?) (1976),26378,children holiday disturbing,horror mystery thriller,1976,children holiday disturbing horror mystery thriller
Silver Streak (1976),26375,chase suspense murder comedy crime train,action comedy crime,1976,chase suspense murder comedy crime train action comedy crime
The Missouri Breaks (1976),26371,gunfight horses violent western,drama western,1976,gunfight horses violent western drama western
"Message, The (a.k.a. Mohammad: Messenger of God) (1976)",26370,religion middle_east jesus islam,adventure drama war,1976,religion middle_east jesus islam adventure drama war
Harlan County U.S.A. (1976),26366,poverty documentary criterion mining forceful,documentary,1976,poverty documentary criterion mining forceful documentary
Futureworld (1976),26365,sequels sequel robot androids,sci_fi thriller,1976,sequels sequel robot androids sci_fi thriller
"Small Change (Argent de poche, L') (1976)",26360,criterion foreign child_abuse teacher enigmatic children golden_palm childhood relationships intimate independent_film poignant talky,comedy drama,1976,criterion foreign child_abuse teacher enigmatic children golden_palm childhood relationships intimate independent_film poignant talky comedy drama
1900 (Novecento) (1976),26359,masterpiece nudity_(full_frontal___notable) male_nudity fascism pornography long,drama war,1976,masterpiece nudity_(full_frontal___notable) male_nudity fascism pornography long drama war
"Passenger, The (Professione: reporter) (1975)",26350,amazing_cinematography existentialism desert loneliness enigmatic identity hotel melancholic criterion cinematography,drama,1975,amazing_cinematography existentialism desert loneliness enigmatic identity hotel melancholic criterion cinematography drama
Night Moves (1975),26349,noir greed film_noir mystery bleak investigation detective moody private_detective melancholic complex neo_noir complicated downbeat runaway noir_thriller,crime thriller,1975,noir greed film_noir mystery bleak investigation detective moody private_detective melancholic complex neo_noir complicated downbeat runaway noir_thriller crime thriller
"Irony of Fate, or Enjoy Your Bath! (Ironiya sudby, ili S legkim parom!) (1975)",26347,russian russia,comedy drama romance,1975,russian russia comedy drama romance
"Story of Adele H., The (Histoire d'Adèle H., L') (1975)",26346,melancholic obsession love,drama,1975,melancholic obsession love drama
"Great Waldo Pepper, The (1975)",26345,aviation wartime world_war_i,drama romance,1975,aviation wartime world_war_i drama romance
French Connection II (1975),26344,good_sequel chase surveillance sequels great_ending investigation detective obsession france complicated drug_addiction original,action crime drama thriller,1975,good_sequel chase surveillance sequels great_ending investigation detective obsession france complicated drug_addiction original action crime drama thriller
"Farewell, My Lovely (1975)",26342,noir investigation detective murder private_detective murder_mystery neo_noir sexy los_angeles film_noir,crime mystery thriller,1975,noir investigation detective murder private_detective murder_mystery neo_noir sexy los_angeles film_noir crime mystery thriller
"Twelve Tasks of Asterix, The (Les douze travaux d'Astérix) (1976)",26340,nostalgic animated animation cartoon based_on_a_comic childhood original classic,action adventure animation children comedy fantasy,1976,nostalgic animated animation cartoon based_on_a_comic childhood original classic action adventure animation children comedy fantasy
"Holy Mountain, The (Montaña sagrada, La) (1973)",26326,visual visually_stunning art_house hallucinatory dreamlike cerebral immortality masterpiece psychedelic visually_appealing art strange weird surreal allegory bizarre cult_film social_commentary artistic enigmatic surrealism insanity,drama,1973,visual visually_stunning art_house hallucinatory dreamlike cerebral immortality masterpiece psychedelic visually_appealing art strange weird surreal allegory bizarre cult_film social_commentary artistic enigmatic surrealism insanity drama
Hearts and Minds (1974),26325,vietnam_war military bombs tragedy genocide propaganda vietnam documentary war criterion anti_war war_movie oscar_(best_directing) iraq heartbreaking,documentary war,1974,vietnam_war military bombs tragedy genocide propaganda vietnam documentary war criterion anti_war war_movie oscar_(best_directing) iraq heartbreaking documentary war
Harry and Tonto (1974),26324,life_&_death oscar_(best_actor) suspense runaway original,comedy drama,1974,life_&_death oscar_(best_actor) suspense runaway original comedy drama
Gone in 60 Seconds (1974),26322,car_chase cars chase police,action crime drama,1974,car_chase cars chase police action crime drama
Flesh for Frankenstein (a.k.a. Andy Warhol's Frankenstein) (1973),26320,splatter weird nudity cult_film blood criterion gory mad_scientist,drama horror sci_fi,1973,splatter weird nudity cult_film blood criterion gory mad_scientist drama horror sci_fi
"Phantom of Liberty, The (Fantôme de la liberté, Le) (1974)",26318,weird surreal bdsm enigmatic surrealism criterion reflective,comedy drama,1974,weird surreal bdsm enigmatic surrealism criterion reflective comedy drama
Emmanuelle (1974),26317,sexual sexuality women erotic male_nudity sex pornography,drama romance,1974,sexual sexuality women erotic male_nudity sex pornography drama romance
California Split (1974),26313,existentialism drinking loneliness addiction obsession gambling criterion friendship,comedy drama,1974,existentialism drinking loneliness addiction obsession gambling criterion friendship comedy drama
Theatre of Blood (1973),26306,splatter macabre cult_classic horror murder shakespeare revenge,comedy horror mystery,1973,splatter macabre cult_classic horror murder shakespeare revenge comedy horror mystery
